nrCrt,Denumire agent economic,cod unic de inregistrare
397,DA & PE COM 73 SRL,RO9750839
398,DACROM BUSSINES SRL,RO34191509
399,DAL PALAS COMPREST SRL,RO7348852
400,Dalbey Activ srl,RO18866965
401,DALIOMEX,RO31264959
402,DAMOC I IOAN ÃNTREPRINDERE FAMILIALÄ,13083938
403,DAN I.M FLORENTINA INTREPRINDERE INDIVIDUALA,40886810
404,DANA PRODCOM FAMILY SRL,RO26986695
405,DÄNACU GABRIELA ALINA I. I,30885559
406,Danantic -Impex Srl,RO3992418
407,Danbilor Srl,RO22258478
408,DANDI ZENA S.R.L.,RO30912297
409,DANDU IMPEX,RO6882177
410,DANGIC COM SRL,RO16103070
411,DANI PROD COM 95,7158602
412,DANIELL'S SRL,RO18010759
413,DANIKO SERV SRL,RO15845410
414,DANIMAR MCR SRL,RO33808097
415,Daniroli,37217255
416,DANK SRL,22252866
417,DANLI SRL,RO14128124
418,DANUT ALIMENT SRL,RO31495694
419,Dany.ng.96 impex srl,9029809
420,DARELI SRL,RO12389964
421,DARYAN MARKET RESIDENCE,40517104
422,DASCALU ROND AURA SNC,RO1168119
423,David A. Ionel,28698591
424,DAVIDES SRL,RO5029199
425,DAVIMAR HOME SRL,35320741
426,DAVINCO SRL,RO2323709
427,DAVMAKO MARKET SRL,RO29826532
428,De ProducÈie Èi Comercializare Hagiu Forest Import Export,7649863
429,DE TOATE LA MURI,RO39137004
430,DEAK ILONA IDA,595944
431,DECORATIUNEA SCM,RO3856599
432,Dede ComerÈ,7453246
433,DELIANA COM SRL,RO4925662
434,Delta Olari SRL,RO8326704
435,Demeter Liviu Gergo,RO31077853
436,DENDRO FLORA IMPEX SRL,RO7985120
437,DENISROM  SRL,RO8860760
438,DENPAMBOB SRL,RO38431736
439,Deviton com.srl,RO9519711
440,DEYMAR ALIMENT SRL,RO35737391
441,DIA FOOD MARKET SRL,RO34008335
442,DIA LITORAL SRL,RO28843217
443,DIACONU GEORGETA INTREPRINDERE INDIVIUALA,RO19533772
444,Diaconu-Holban Valentin Inteprindere Individuala,36737071
445,DIAMADROX COMPANY SRL,RO35526904
446,DIAMIR SRL,16218568
447,DIANA COM SRL,RO14572789
448,DIANDRA BAKO SRL,RO35577290
449,DIAX COM SRL,RO8603961
450,DIDIN FLORICA PERSOANA FIZICA AUTORIZATA,27187041
451,DIMOND,RO10464881
452,DINU COMIMPEX SRL,RO6409722
453,DIREMAD&MINA,33367306
454,DISCONT CENTER SRL,RO11320981
455,DOBRE CRISTIAN COMERT I.I.,26973598
456,Dobre Magdalena,RO15589711
457,DOBRE NICOLAIE IF,RO11100102
458,DOBROGEANU M VASILICA PERSOANA FIZICA AUTORIZATA,23654071
459,Doliver olivian,38043602
460,Dolly Servocom Srl,RO4164251
461,DOMINION PRODSERV S.R.L.,RO3471975
